82,ocaudill0,"Electronic Materials I, Accounting and Accountancy II, User Interface Design"
153,rwalker0,"Introduction to Biophysics, Diversity, Leadership & Policy, Professional Design Practice, International Finance"
178,mniles6,"Stars and Galaxies, Elementary Linear Algebra, Startups:Inc,Fund,Contracts,IP, Mathematical Statistics"
165,mhughey2,"Taxation of Bus Entities A, History of Everything, Introductory Fluid Mechanics"
23,jcarson9,"College of Media Orientation, Strategic Management in RST, Electronic Materials I"
178,gdrain6,"Engineering Graphics & Design, Global Business Horizons, High-Dimensional Statistics, Digital Signal Processing"
39,kyork3,"Sustainable Design Principles, Advanced Computer Vision, New Media, Culture & Society, Strat. Analytics & Data Visual, Introduction to Greek Culture"
45,rwilliams4,"Data Science Prog Methods, Eukaryotic Cell Signaling, Intro to CS for CS Teachers, School Social Work Practice, Introduction to Labor Studies, Successful Change Mgmt"
48,rweishaar2,"Interpersonal Intelligence, Topics in LGBT Lit and Film, Continuum Mechanics"
143,tslaugh8,"Consulting Info Professionals, American Race and Ethiniciy Cl, Music in Adolescence"
116,rmendez9,"Collective Bargaining, The US Supreme Court, Advertising and Brand Strategy, Monetary Theory, Early Literacy, Hidden Political Figures"
176,cbowen3,"Modern Balkans thru Lit & Film, Lit of the Islamic World, Strategic HRD, Business in Action"
111,ddronet0,"Senior Engineering Project II, Teacher's Course, Foundations: Performance"
78,gwalker4,"Data Preparation for Accting, Startups:Inc,Fund,Contracts,IP, Freshman Orientation, Introduction to Philosophy, Social Media Analytics"
54,dgutierrez9,"Microeconomic Principles, Foundational Skills in CropSci, Cognitive Psych Lab, Jazz Dance I, Disability in American Society"
6,ndowdy1,"Intro to Creative Writing, Introduction to Hospitality, Topics in LGBT Lit and Film, Special Topics Mol Cell Biol"
44,mvolz4,"Science of Fermented Foods, Machine Learning in Finance, Development Activities, Hot Topics in Sports Nutrition, Politics of the National Parks"
8,pwhite4,"Biochemical Nutrition I, Wind Power Systems, Numerical Thermo-Fluid Mechs, American Environmental History, Quantitative Finance"
101,akeagle2,"Human Perform & Cogn in Contxt, Human Sexuality, Computational Photography, Web Devel Using App Framwrk, Motor Develop, Growth & Form, Decision Analysis I"
131,rpeterson6,"Assessment for Learning, Economic Statistics II, Black Women & Popular Culture, Early Modern Philosophy"
119,jsledge2,"Senior Engineering Project II, Molec & Cellular Basis of Life, Race, Gender & Power"
111,wcady1,"White Collar Crime (ONL), Program for Info Problems, Plants, Pathogens, and People, Psychology of Gender, Contemporary Movies"
45,gjetton9,"Computer Architecture, Evolutionary Neuroscience, Broadway Musicals, Photography & Public Life, Business Associations I, Intro to Video Game Industry"
137,dharris0,"Global Business Horizons, CyberGIS & Geospatial Data Sci, Government Regulation"
149,whunsicker9,"Distributed Systems, Int Diplomacy and Negotiation, Game Theory & Strategy"
68,kstarkey2,"Instrumentation and Test Lab, IC Device Theory & Fabrication, Polymer Physics, Automotive Design Projects-DES, Electric Propulsion, Introduction to Fashion"
8,lpuryear3,"Accounting and Accountancy II, Race, Gender & Sexuality Issu, Human Anat & Physiol Lab II, History Fndts of Info Society, Tchg Elem Science II, Adv Organizational Comm"
111,fnorman3,"Global Perspectives-Pre-Depart, Introduction to Materials Chem, Encounters in Native America, Field Experience in i-Health, Aphasia and Related Disorders, Lin Algebra & Financial Apps"
130,cchambers0,"Assistive Technologies, Persuasive Writing, Intro to Japanese Culture, International HR Management"
150,jmurray1,"Tax Research, World Archaeology, Principles of HRE, Agriculture in Mythology, Power & Influence in HRM"
118,lconnor6,"The US Supreme Court, Women's Health, Asian Mythology, Steel Structures II, History of Ancient Rome"
19,gsanders1,"Russia and Black America, Biomedical Ethics, Intro to ILEE, Linear Alg for Biomed Data Sci"
141,kcagle8,"Digital Humanitarians, Electronic Materials I, Modeling the Supply Chain, Mobile Computing & Application"
122,jrussey0,"Bioengineering Professionalism, Methods of Applied Statistics, State Space Design for Control"
4,gcase7,"Data Structures, Educational Statistics, Data Science Discovery, Intro to General Phonetics"
52,jcunningham3,"Process Control and Dynamics, Lang&Culture of Arab World, The Culture of Disability, World Religions, Deep Learning, Statistical Computing"
